year,month,district,blood_group,registrations,emergency_requests,demand
2022,1,Chennai,A+,61,8,68
2022,1,Chennai,A-,48,0,31
2022,1,Chennai,B+,17,5,29
2022,1,Chennai,B-,12,3,10
2022,1,Chennai,AB+,47,7,33
2022,1,Chennai,AB-,59,4,31
2022,1,Chennai,O+,31,0,24
2022,1,Chennai,O-,23,0,13
2022,1,Coimbatore,A+,70,11,87
2022,1,Coimbatore,A-,37,11,46
2022,1,Coimbatore,B+,42,6,51
2022,1,Coimbatore,B-,9,8,24
2022,1,Coimbatore,AB+,44,13,48
2022,1,Coimbatore,AB-,22,13,27
2022,1,Coimbatore,O+,23,8,43
2022,1,Coimbatore,O-,5,8,22
2022,1,Madurai,A+,43,12,65
2022,1,Madurai,A-,56,6,43
2022,1,Madurai,B+,31,9,40
2022,1,Madurai,B-,70,1,36
2022,1,Madurai,AB+,66,12,56
2022,1,Madurai,AB-,44,9,30
2022,1,Madurai,O+,68,6,88
2022,1,Madurai,O-,8,9,32
2022,1,Salem,A+,27,4,26
2022,1,Salem,A-,8,0,1
2022,1,Salem,B+,43,2,38
2022,1,Salem,B-,63,14,53
2022,1,Salem,AB+,22,4,18
2022,1,Salem,AB-,56,13,37
2022,1,Salem,O+,29,7,47
2022,1,Salem,O-,44,3,30
2022,1,Trichy,A+,33,4,33
2022,1,Trichy,A-,37,2,27
2022,1,Trichy,B+,50,7,52
2022,1,Trichy,B-,35,10,30
2022,1,Trichy,AB+,44,9,34
2022,1,Trichy,AB-,46,5,28
2022,1,Trichy,O+,21,3,32
2022,1,Trichy,O-,57,11,56
2022,1,Vellore,A+,31,6,39
2022,1,Vellore,A-,62,4,45
2022,1,Vellore,B+,60,11,68
2022,1,Vellore,B-,49,12,50
2022,1,Vellore,AB+,12,13,31
2022,1,Vellore,AB-,74,6,42
2022,1,Vellore,O+,30,9,62
2022,1,Vellore,O-,10,2,8
2022,1,Erode,A+,58,7,69
2022,1,Erode,A-,39,2,23
2022,1,Erode,B+,10,6,28
2022,1,Erode,B-,27,12,37
2022,1,Erode,AB+,55,13,46
2022,1,Erode,AB-,36,0,7
2022,1,Erode,O+,32,1,32
2022,1,Erode,O-,41,12,50
2022,1,Tirunelveli,A+,23,2,21
2022,1,Tirunelveli,A-,19,7,25
2022,1,Tirunelveli,B+,65,4,58
2022,1,Tirunelveli,B-,63,6,36
2022,1,Tirunelveli,AB+,72,1,37
2022,1,Tirunelveli,AB-,58,10,29
2022,1,Tirunelveli,O+,16,9,38
2022,1,Tirunelveli,O-,56,9,51
2022,1,Thoothukudi,A+,60,1,46
2022,1,Thoothukudi,A-,17,14,33
2022,1,Thoothukudi,B+,29,5,29
2022,1,Thoothukudi,B-,76,3,40
2022,1,Thoothukudi,AB+,63,8,45
2022,1,Thoothukudi,AB-,18,12,21
2022,1,Thoothukudi,O+,56,8,79
2022,1,Thoothukudi,O-,76,7,69
2022,1,Namakkal,A+,41,5,44
2022,1,Namakkal,A-,29,3,22
2022,1,Namakkal,B+,61,4,58
2022,1,Namakkal,B-,65,6,39
2022,1,Namakkal,AB+,24,2,9
2022,1,Namakkal,AB-,41,2,19
2022,1,Namakkal,O+,20,12,52
2022,1,Namakkal,O-,7,11,23
2022,1,Dharmapuri,A+,48,14,77
2022,1,Dharmapuri,A-,46,1,21
2022,1,Dharmapuri,B+,28,4,25
2022,1,Dharmapuri,B-,18,9,32
2022,1,Dharmapuri,AB+,41,9,42
2022,1,Dharmapuri,AB-,57,1,29
2022,1,Dharmapuri,O+,60,12,97
2022,1,Dharmapuri,O-,39,3,31
2022,1,Krishnagiri,A+,78,8,88
2022,1,Krishnagiri,A-,38,7,32
2022,1,Krishnagiri,B+,31,8,44
2022,1,Krishnagiri,B-,78,11,64
2022,1,Krishnagiri,AB+,7,11,23
2022,1,Krishnagiri,AB-,43,13,34
2022,1,Krishnagiri,O+,27,13,65
2022,1,Krishnagiri,O-,40,13,63
2022,1,Dindigul,A+,24,13,59
2022,1,Dindigul,A-,60,12,62
2022,1,Dindigul,B+,41,2,29
2022,1,Dindigul,B-,66,0,38
2022,1,Dindigul,AB+,47,9,34
2022,1,Dindigul,AB-,21,5,8
2022,1,Dindigul,O+,36,2,36
2022,1,Dindigul,O-,63,14,80
2022,1,Thanjavur,A+,27,1,25
2022,1,Thanjavur,A-,74,9,52
2022,1,Thanjavur,B+,66,13,75
2022,1,Thanjavur,B-,40,5,34
2022,1,Thanjavur,AB+,37,4,26
2022,1,Thanjavur,AB-,32,6,26
2022,1,Thanjavur,O+,63,2,70
2022,1,Thanjavur,O-,47,1,29
2022,1,Karur,A+,57,7,62
2022,1,Karur,A-,42,6,28
2022,1,Karur,B+,31,4,40
2022,1,Karur,B-,11,5,8
2022,1,Karur,AB+,33,2,25
2022,1,Karur,AB-,19,0,11
