blood_group_match,same_district,age,weight,days_since_donation,is_eligible,emergency_level,availability,recommendation_score
0,0,23,78.9,253,0,1,1,0.128
0,1,27,83.1,188,0,1,1,0.3961
1,0,58,81.2,290,1,2,1,0.7072
1,1,38,62.4,70,1,3,0,0.9212
0,0,31,93.2,232,1,3,0,0.3124
0,1,62,87.3,7,1,2,0,0.4107
1,0,50,73.1,267,1,1,0,0.6309
0,1,42,78.2,365,0,1,1,0.3396
0,0,36,76.2,335,1,2,0,0.3556
1,1,26,97.1,114,0,3,0,0.6248
0,1,64,94.3,323,1,3,0,0.4427
0,1,54,58.0,300,0,3,0,0.3148
1,1,53,59.5,296,1,3,1,0.9113
1,0,53,99.0,236,0,1,1,0.5546
1,1,32,58.0,316,0,3,1,0.8453
1,1,22,97.4,75,1,2,0,0.7979
0,1,34,80.7,98,0,3,0,0.3914
0,0,47,47.8,322,1,1,0,0.2353
1,1,24,63.5,1,0,3,0,0.6344
1,0,23,71.2,121,0,3,1,0.5124
1,1,32,90.8,184,1,2,1,0.8579
0,1,63,63.1,15,0,3,0,0.3208
0,1,27,62.1,278,0,3,1,0.5129
0,1,23,95.6,350,1,2,0,0.492
1,0,59,49.3,40,1,2,0,0.6223
1,0,58,75.3,54,1,2,1,0.6616
0,1,30,72.7,207,1,2,1,0.5661
0,1,31,48.2,131,0,1,0,0.1744
1,1,18,49.8,365,1,3,0,0.9748
1,0,50,66.0,355,1,3,1,0.7386
1,1,36,52.4,283,1,1,1,0.922
1,0,26,71.3,177,0,2,0,0.5201
1,0,54,78.5,241,1,3,0,0.6887
1,1,65,83.0,241,0,2,1,0.7445
1,0,29,75.1,283,1,2,1,0.7714
1,1,22,65.9,122,0,1,0,0.536
0,0,23,52.1,281,0,1,1,0.0807
0,1,28,58.6,166,0,2,0,0.3011
0,1,55,68.1,12,1,3,1,0.6077
1,1,27,95.8,70,1,2,0,0.8419
0,1,32,56.1,53,1,3,1,0.4806
0,1,56,67.7,12,0,2,0,0.201
0,1,45,85.3,58,1,2,1,0.5804
